time,moisture
2024-03-12 15:33:05,74.97
2024-03-12 15:38:05,74.9
2024-03-12 15:43:05,74.82
2024-03-12 15:48:05,74.7
2024-03-12 15:53:05,74.61
2024-03-12 15:58:05,74.54
2024-03-12 16:03:05,74.51
2024-03-12 16:08:05,74.39
2024-03-12 16:13:05,74.22
2024-03-12 16:18:05,74.06
2024-03-12 16:23:05,74.0
2024-03-12 16:28:05,73.84
2024-03-12 16:33:05,73.74
2024-03-12 16:38:05,73.63
2024-03-12 16:43:05,73.48
2024-03-12 16:48:05,73.43
2024-03-12 16:53:05,73.4
2024-03-12 16:58:05,73.3
2024-03-12 17:03:05,73.25
2024-03-12 17:08:05,73.07
2024-03-12 17:13:05,72.95
2024-03-12 17:18:05,72.78
2024-03-12 17:23:05,72.63
2024-03-12 17:28:05,72.58
2024-03-12 17:33:05,72.55
2024-03-12 17:38:05,72.48
2024-03-12 17:43:05,72.37
2024-03-12 17:48:05,72.27
2024-03-12 17:53:05,72.11
2024-03-12 17:58:05,72.01
2024-03-12 18:03:05,71.97
2024-03-12 18:08:05,71.8
2024-03-12 18:13:05,71.71
2024-03-12 18:18:05,71.61
2024-03-12 18:23:05,71.46
2024-03-12 18:28:05,71.32
2024-03-12 18:33:05,71.16
2024-03-12 18:38:05,71.1
2024-03-12 18:43:05,71.05
2024-03-12 18:48:05,70.97
2024-03-12 18:53:05,70.82
2024-03-12 18:58:05,70.76
2024-03-12 19:03:05,70.63
2024-03-12 19:08:05,70.58
2024-03-12 19:13:05,70.43
2024-03-12 19:18:05,70.25
2024-03-12 19:23:05,70.12
2024-03-12 19:28:05,70.04
2024-03-12 19:33:05,70.01
2024-03-12 19:38:05,69.95
2024-03-12 19:43:05,69.82
2024-03-12 19:48:05,69.67
2024-03-12 19:53:05,69.65
2024-03-12 19:58:05,69.6
2024-03-12 20:03:05,69.55
2024-03-12 20:08:05,69.4
2024-03-12 20:13:05,69.32
2024-03-12 20:18:05,69.2
2024-03-12 20:23:05,69.15
2024-03-12 20:28:05,68.98
2024-03-12 20:33:05,68.91
2024-03-12 20:38:05,68.8
2024-03-12 20:43:05,68.72
2024-03-12 20:48:05,68.57
2024-03-12 20:53:05,68.52
2024-03-12 20:58:05,68.45
2024-03-12 21:03:05,68.33
2024-03-12 21:08:05,68.3
2024-03-12 21:13:05,68.24
2024-03-12 21:18:05,68.09
2024-03-12 21:23:05,68.01
2024-03-12 21:28:05,67.96
2024-03-12 21:33:05,67.89
2024-03-12 21:38:05,67.8
2024-03-12 21:43:05,67.76
2024-03-12 21:48:05,67.61
2024-03-12 21:53:05,67.51
2024-03-12 21:58:05,67.41
2024-03-12 22:03:05,67.39
2024-03-12 22:08:05,67.33
2024-03-12 22:13:05,67.26
2024-03-12 22:18:05,67.24
2024-03-12 22:23:05,67.17
2024-03-12 22:28:05,67.11
2024-03-12 22:33:05,67.09
2024-03-12 22:38:05,67.02
2024-03-12 22:43:05,66.91
2024-03-12 22:48:05,66.84
2024-03-12 22:53:05,66.78
2024-03-12 22:58:05,66.72
2024-03-12 23:03:05,66.57
2024-03-12 23:08:05,66.5
2024-03-12 23:13:05,66.38
2024-03-12 23:18:05,66.22
2024-03-12 23:23:05,66.08
2024-03-12 23:28:05,65.94
2024-03-12 23:33:05,65.84
2024-03-12 23:38:05,65.68
2024-03-12 23:43:05,65.6
2024-03-12 23:48:05,65.48
2024-03-12 23:53:05,65.4
2024-03-12 23:58:05,65.3
2024-03-13 00:03:05,65.24
2024-03-13 00:08:05,65.15
2024-03-13 00:13:05,65.09
2024-03-13 00:18:05,64.99
2024-03-13 00:23:05,64.95
2024-03-13 00:28:05,64.93
2024-03-13 00:33:05,64.82
2024-03-13 00:38:05,64.73
2024-03-13 00:43:05,64.62
2024-03-13 00:48:05,64.57
2024-03-13 00:53:05,64.55
2024-03-13 00:58:05,64.42
2024-03-13 01:03:05,64.27
2024-03-13 01:08:05,64.23
2024-03-13 01:13:05,64.17
2024-03-13 01:18:05,64.1
2024-03-13 01:23:05,64.02
2024-03-13 01:28:05,63.9
2024-03-13 01:33:05,63.85
2024-03-13 01:38:05,63.74
2024-03-13 01:43:05,63.65
2024-03-13 01:48:05,63.53
2024-03-13 01:53:05,63.4
2024-03-13 01:58:05,63.31
2024-03-13 02:03:05,63.21
2024-03-13 02:08:05,63.19
2024-03-13 02:13:05,63.06
2024-03-13 02:18:05,62.92
2024-03-13 02:23:05,62.9
2024-03-13 02:28:05,62.79
2024-03-13 02:33:05,62.77
2024-03-13 02:38:05,62.65
2024-03-13 02:43:05,62.57
2024-03-13 02:48:05,62.55
2024-03-13 02:53:05,62.43
2024-03-13 02:58:05,62.37
2024-03-13 03:03:05,62.24
2024-03-13 03:08:05,62.16
2024-03-13 03:13:05,62.14
2024-03-13 03:18:05,62.02
2024-03-13 03:23:05,61.99
2024-03-13 03:28:05,61.88
2024-03-13 03:33:05,61.74
2024-03-13 03:38:05,61.65
2024-03-13 03:43:05,61.51
2024-03-13 03:48:05,61.44
2024-03-13 03:53:05,61.42
2024-03-13 03:58:05,61.4
2024-03-13 04:03:05,61.35
2024-03-13 04:08:05,61.26
2024-03-13 04:13:05,61.17
2024-03-13 04:18:05,61.07
2024-03-13 04:23:05,60.99
2024-03-13 04:28:05,60.88
2024-03-13 04:33:05,60.8
2024-03-13 04:38:05,60.78
2024-03-13 04:43:05,60.7
2024-03-13 04:48:05,60.58
2024-03-13 04:53:05,60.53
2024-03-13 04:58:05,60.46
2024-03-13 05:03:05,60.37
2024-03-13 05:08:05,60.28
2024-03-13 05:13:05,60.17
2024-03-13 05:18:05,60.13
2024-03-13 05:23:05,60.08
2024-03-13 05:28:05,60.02
2024-03-13 05:33:05,59.94
2024-03-13 05:38:05,59.89
2024-03-13 05:43:05,59.81
2024-03-13 05:48:05,59.72
2024-03-13 05:53:05,59.69
2024-03-13 05:58:05,59.67
2024-03-13 06:03:05,59.6
2024-03-13 06:08:05,59.57
2024-03-13 06:13:05,59.5
2024-03-13 06:18:05,59.45
2024-03-13 06:23:05,59.38
2024-03-13 06:28:05,59.28
2024-03-13 06:33:05,59.21
2024-03-13 06:38:05,59.11
2024-03-13 06:43:05,59.07
2024-03-13 06:48:05,59.0
2024-03-13 06:53:05,58.92
2024-03-13 06:58:05,58.9
2024-03-13 07:03:05,58.82
2024-03-13 07:08:05,58.73
2024-03-13 07:13:05,58.62
2024-03-13 07:18:05,58.51
2024-03-13 07:23:05,58.44
2024-03-13 07:28:05,58.33
2024-03-13 07:33:05,58.2
2024-03-13 07:38:05,58.12
2024-03-13 07:43:05,58.06
2024-03-13 07:48:05,57.95
2024-03-13 07:53:05,57.86
2024-03-13 07:58:05,57.75
2024-03-13 08:03:05,57.65
2024-03-13 08:08:05,57.63
2024-03-13 08:13:05,57.54
2024-03-13 08:18:05,57.51
2024-03-13 08:23:05,57.39
2024-03-13 08:28:05,57.29
2024-03-13 08:33:05,57.18
2024-03-13 08:38:05,57.06
2024-03-13 08:43:05,56.95
2024-03-13 08:48:05,56.93
2024-03-13 08:53:05,56.86
2024-03-13 08:58:05,56.8
2024-03-13 09:03:05,56.78
2024-03-13 09:08:05,56.72
2024-03-13 09:13:05,56.61
2024-03-13 09:18:05,56.5
2024-03-13 09:23:05,56.41
2024-03-13 09:28:05,56.39
2024-03-13 09:33:05,56.3
2024-03-13 09:38:05,56.19
2024-03-13 09:43:05,56.1
2024-03-13 09:48:05,56.08
2024-03-13 09:53:05,56.01
2024-03-13 09:58:05,55.94
2024-03-13 10:03:05,55.85
2024-03-13 10:08:05,55.76
2024-03-13 10:13:05,55.7
2024-03-13 10:18:05,55.59
2024-03-13 10:23:05,55.57
2024-03-13 10:28:05,55.49
2024-03-13 10:33:05,55.4
2024-03-13 10:38:05,55.37
2024-03-13 10:43:05,55.29
2024-03-13 10:48:05,55.17
2024-03-13 10:53:05,55.06
2024-03-13 10:58:05,55.02
2024-03-13 11:03:05,55.0
2024-03-13 11:08:05,54.91
2024-03-13 11:13:05,54.9
2024-03-13 11:18:05,54.88
2024-03-13 11:23:05,54.78
2024-03-13 11:28:05,54.72
2024-03-13 11:33:05,54.7
2024-03-13 11:38:05,54.67
2024-03-13 11:43:05,54.61
2024-03-13 11:48:05,54.54
2024-03-13 11:53:05,54.52
2024-03-13 11:58:05,54.43
2024-03-13 12:03:05,54.33
2024-03-13 12:08:05,54.24
2024-03-13 12:13:05,54.17
2024-03-13 12:18:05,54.08
2024-03-13 12:23:05,54.07
2024-03-13 12:28:05,54.0
2024-03-13 12:33:05,53.9
2024-03-13 12:38:05,53.85
2024-03-13 12:43:05,53.77
2024-03-13 12:48:05,53.67
2024-03-13 12:53:05,53.63
2024-03-13 12:58:05,53.53
2024-03-13 13:03:05,53.44
2024-03-13 13:08:05,53.34
2024-03-13 13:13:05,53.3
2024-03-13 13:18:05,53.24
2024-03-13 13:23:05,53.22
2024-03-13 13:28:05,53.13
2024-03-13 13:33:05,53.02
2024-03-13 13:38:05,52.93
2024-03-13 13:43:05,52.9
2024-03-13 13:48:05,52.8
2024-03-13 13:53:05,52.75
2024-03-13 13:58:05,52.65
2024-03-13 14:03:05,52.63
2024-03-13 14:08:05,52.55
2024-03-13 14:13:05,52.5
2024-03-13 14:18:05,52.42
2024-03-13 14:23:05,52.33
2024-03-13 14:28:05,52.29
2024-03-13 14:33:05,52.18
2024-03-13 14:38:05,52.15
2024-03-13 14:43:05,52.05
2024-03-13 14:48:05,52.03
2024-03-13 14:53:05,51.93
2024-03-13 14:58:05,51.9
2024-03-13 15:03:05,51.86
2024-03-13 15:08:05,51.84
2024-03-13 15:13:05,51.77
2024-03-13 15:18:05,51.75
2024-03-13 15:23:05,51.67
2024-03-13 15:28:05,51.6
2024-03-13 15:33:05,51.57
2024-03-13 15:38:05,51.5
2024-03-13 15:43:05,51.43
2024-03-13 15:48:05,51.38
2024-03-13 15:53:05,51.37
2024-03-13 15:58:05,51.32
2024-03-13 16:03:05,51.24
2024-03-13 16:08:05,51.22
2024-03-13 16:13:05,51.12
2024-03-13 16:18:05,51.08
2024-03-13 16:23:05,51.02
2024-03-13 16:28:05,51.0
2024-03-13 16:33:05,50.92
2024-03-13 16:38:05,50.91
2024-03-13 16:43:05,50.89
2024-03-13 16:48:05,50.81
2024-03-13 16:53:05,50.74
2024-03-13 16:58:05,50.71
2024-03-13 17:03:05,50.64
2024-03-13 17:08:05,50.62
2024-03-13 17:13:05,50.58
2024-03-13 17:18:05,50.49
2024-03-13 17:23:05,50.43
2024-03-13 17:28:05,50.35
2024-03-13 17:33:05,50.32
2024-03-13 17:38:05,50.29
2024-03-13 17:43:05,50.2
2024-03-13 17:48:05,50.18
2024-03-13 17:53:05,50.12
2024-03-13 17:58:05,50.08
2024-03-13 18:03:05,50.05
2024-03-13 18:08:05,49.98
2024-03-13 18:13:05,49.92
2024-03-13 18:18:05,49.86
2024-03-13 18:23:05,49.85
2024-03-13 18:28:05,49.78
2024-03-13 18:33:05,49.73
2024-03-13 18:38:05,49.68
2024-03-13 18:43:05,49.61
2024-03-13 18:48:05,49.56
2024-03-13 18:53:05,49.47
2024-03-13 18:58:05,49.44
2024-03-13 19:03:05,49.43
2024-03-13 19:08:05,49.36
2024-03-13 19:13:05,49.28
2024-03-13 19:18:05,49.25
2024-03-13 19:23:05,49.17
2024-03-13 19:28:05,49.11
2024-03-13 19:33:05,49.04
2024-03-13 19:38:05,49.0
2024-03-13 19:43:05,48.95
2024-03-13 19:48:05,48.88
2024-03-13 19:53:05,48.82
2024-03-13 19:58:05,48.74
2024-03-13 20:03:05,48.66
2024-03-13 20:08:05,48.59
2024-03-13 20:13:05,48.53
2024-03-13 20:18:05,48.45
2024-03-13 20:23:05,48.39
2024-03-13 20:28:05,48.32
2024-03-13 20:33:05,48.28
2024-03-13 20:38:05,48.23
2024-03-13 20:43:05,48.18
2024-03-13 20:48:05,48.1
2024-03-13 20:53:05,48.08
2024-03-13 20:58:05,48.06
2024-03-13 21:03:05,48.0
2024-03-13 21:08:05,47.95
2024-03-13 21:13:05,47.9
2024-03-13 21:18:05,47.83
2024-03-13 21:23:05,47.78
2024-03-13 21:28:05,47.73
2024-03-13 21:33:05,47.69
2024-03-13 21:38:05,47.64
2024-03-13 21:43:05,47.62
2024-03-13 21:48:05,47.58
2024-03-13 21:53:05,47.53
2024-03-13 21:58:05,47.47
2024-03-13 22:03:05,47.44
2024-03-13 22:08:05,47.4
2024-03-13 22:13:05,47.36
2024-03-13 22:18:05,47.34
2024-03-13 22:23:05,47.32
2024-03-13 22:28:05,47.25
2024-03-13 22:33:05,47.24
2024-03-13 22:38:05,47.17
2024-03-13 22:43:05,47.13
2024-03-13 22:48:05,47.07
2024-03-13 22:53:05,47.05
2024-03-13 22:58:05,46.99
2024-03-13 23:03:05,46.97
2024-03-13 23:08:05,46.95
2024-03-13 23:13:05,46.92
2024-03-13 23:18:05,46.9
2024-03-13 23:23:05,46.83
2024-03-13 23:28:05,46.81
2024-03-13 23:33:05,46.79
2024-03-13 23:38:05,46.76
2024-03-13 23:43:05,46.73
2024-03-13 23:48:05,46.67
2024-03-13 23:53:05,46.61
2024-03-13 23:58:05,46.56
2024-03-14 00:03:05,46.49
2024-03-14 00:08:05,46.43
2024-03-14 00:13:05,46.4
2024-03-14 00:18:05,46.36
2024-03-14 00:23:05,46.31
2024-03-14 00:28:05,46.24
2024-03-14 00:33:05,46.19
2024-03-14 00:38:05,46.14
2024-03-14 00:43:05,46.11
2024-03-14 00:48:05,46.06
2024-03-14 00:53:05,46.02
2024-03-14 00:58:05,45.99
2024-03-14 01:03:05,45.94
2024-03-14 01:08:05,45.92
2024-03-14 01:13:05,45.86
2024-03-14 01:18:05,45.8
2024-03-14 01:23:05,45.79
2024-03-14 01:28:05,45.73
2024-03-14 01:33:05,45.72
2024-03-14 01:38:05,45.7
2024-03-14 01:43:05,45.68
2024-03-14 01:48:05,45.65
2024-03-14 01:53:05,45.64
2024-03-14 01:58:05,45.58
2024-03-14 02:03:05,45.53
2024-03-14 02:08:05,45.48
2024-03-14 02:13:05,45.42
2024-03-14 02:18:05,45.37
2024-03-14 02:23:05,45.35
2024-03-14 02:28:05,45.34
2024-03-14 02:33:05,45.3
2024-03-14 02:38:05,45.24
2024-03-14 02:43:05,45.23
2024-03-14 02:48:05,45.18
2024-03-14 02:53:05,45.14
2024-03-14 02:58:05,45.09
2024-03-14 03:03:05,45.07
2024-03-14 03:08:05,45.06
2024-03-14 03:13:05,45.05
2024-03-14 03:18:05,45.0
2024-03-14 03:23:05,44.95
2024-03-14 03:28:05,44.91
2024-03-14 03:33:05,44.87
2024-03-14 03:38:05,44.85
2024-03-14 03:43:05,44.83
2024-03-14 03:48:05,44.82
2024-03-14 03:53:05,44.78
2024-03-14 03:58:05,44.77
2024-03-14 04:03:05,44.73
2024-03-14 04:08:05,44.69
2024-03-14 04:13:05,44.67
2024-03-14 04:18:05,44.66
2024-03-14 04:23:05,44.61
2024-03-14 04:28:05,44.57
2024-03-14 04:33:05,44.53
2024-03-14 04:38:05,44.5
2024-03-14 04:43:05,44.45
2024-03-14 04:48:05,44.42
2024-03-14 04:53:05,44.38
2024-03-14 04:58:05,44.33
2024-03-14 05:03:05,44.32
2024-03-14 05:08:05,44.28
2024-03-14 05:13:05,44.26
2024-03-14 05:18:05,44.23
2024-03-14 05:23:05,44.19
2024-03-14 05:28:05,44.16
2024-03-14 05:33:05,44.14
2024-03-14 05:38:05,44.13
2024-03-14 05:43:05,44.09
2024-03-14 05:48:05,44.06
2024-03-14 05:53:05,44.05
2024-03-14 05:58:05,44.02
2024-03-14 06:03:05,43.99
2024-03-14 06:08:05,43.95
2024-03-14 06:13:05,43.92
2024-03-14 06:18:05,43.9
2024-03-14 06:23:05,43.88
2024-03-14 06:28:05,43.85
2024-03-14 06:33:05,43.84
2024-03-14 06:38:05,43.83
2024-03-14 06:43:05,43.81
2024-03-14 06:48:05,43.78
2024-03-14 06:53:05,43.75
2024-03-14 06:58:05,43.71
2024-03-14 07:03:05,43.67
2024-03-14 07:08:05,43.63
2024-03-14 07:13:05,43.62
2024-03-14 07:18:05,43.58
2024-03-14 07:23:05,43.54
2024-03-14 07:28:05,43.51
2024-03-14 07:33:05,43.5
2024-03-14 07:38:05,43.47
2024-03-14 07:43:05,43.46
2024-03-14 07:48:05,43.44
2024-03-14 07:53:05,43.42
2024-03-14 07:58:05,43.41
2024-03-14 08:03:05,43.38
2024-03-14 08:08:05,43.37
2024-03-14 08:13:05,43.34
2024-03-14 08:18:05,43.32
2024-03-14 08:23:05,43.31
2024-03-14 08:28:05,43.3
2024-03-14 08:33:05,43.26
2024-03-14 08:38:05,43.25
2024-03-14 08:43:05,43.24
2024-03-14 08:48:05,43.23
2024-03-14 08:53:05,43.22
2024-03-14 08:58:05,43.21
2024-03-14 09:03:05,43.18
2024-03-14 09:08:05,43.15
2024-03-14 09:13:05,43.13
2024-03-14 09:18:05,43.12
2024-03-14 09:23:05,43.1
2024-03-14 09:28:05,43.09
2024-03-14 09:33:05,43.05
2024-03-14 09:38:05,43.02
2024-03-14 09:43:05,43.02
2024-03-14 09:48:05,43.01
2024-03-14 09:53:05,42.98
2024-03-14 09:58:05,42.97
2024-03-14 10:03:05,42.96
2024-03-14 10:08:05,42.93
2024-03-14 10:13:05,42.9
2024-03-14 10:18:05,42.9
2024-03-14 10:23:05,42.89
2024-03-14 10:28:05,42.88
2024-03-14 10:33:05,42.85
2024-03-14 10:38:05,42.82
2024-03-14 10:43:05,42.79
2024-03-14 10:48:05,42.77
2024-03-14 10:53:05,42.74
2024-03-14 10:58:05,42.73
2024-03-14 11:03:05,42.71
2024-03-14 11:08:05,42.69
2024-03-14 11:13:05,42.68
2024-03-14 11:18:05,42.68
2024-03-14 11:23:05,42.65
2024-03-14 11:28:05,42.63
2024-03-14 11:33:05,42.61
2024-03-14 11:38:05,42.59
2024-03-14 11:43:05,42.56
2024-03-14 11:48:05,42.56
2024-03-14 11:53:05,42.54
2024-03-14 11:58:05,42.53
2024-03-14 12:03:05,42.52
2024-03-14 12:08:05,42.5
2024-03-14 12:13:05,42.48
2024-03-14 12:18:05,42.46
2024-03-14 12:23:05,42.44
2024-03-14 12:28:05,42.42
2024-03-14 12:33:05,42.41
2024-03-14 12:38:05,42.4
2024-03-14 12:43:05,42.38
2024-03-14 12:48:05,42.38
2024-03-14 12:53:05,42.36
2024-03-14 12:58:05,42.35
2024-03-14 13:03:05,42.35
2024-03-14 13:08:05,42.34
2024-03-14 13:13:05,42.32
2024-03-14 13:18:05,42.31
2024-03-14 13:23:05,42.29
2024-03-14 13:28:05,42.27
2024-03-14 13:33:05,42.26
2024-03-14 13:38:05,42.25
2024-03-14 13:43:05,42.25
2024-03-14 13:48:05,42.24
2024-03-14 13:53:05,42.22
2024-03-14 13:58:05,42.2
2024-03-14 14:03:05,42.19
2024-03-14 14:08:05,42.18
2024-03-14 14:13:05,42.17
2024-03-14 14:18:05,42.16
2024-03-14 14:23:05,42.16
2024-03-14 14:28:05,75.01
2024-03-14 14:33:05,74.95
2024-03-14 14:38:05,74.9
2024-03-14 14:43:05,74.73
2024-03-14 14:48:05,74.6
2024-03-14 14:53:05,74.5
2024-03-14 14:58:05,74.43
2024-03-14 15:03:05,74.4
2024-03-14 15:08:05,74.33
2024-03-14 15:13:05,74.18
2024-03-14 15:18:05,74.06
2024-03-14 15:23:05,73.95
2024-03-14 15:28:05,73.87
2024-03-14 15:33:05,73.74
2024-03-14 15:38:05,73.71
2024-03-14 15:43:05,73.67
2024-03-14 15:48:05,73.64
2024-03-14 15:53:05,73.58
2024-03-14 15:58:05,73.55
2024-03-14 16:03:05,73.39
2024-03-14 16:08:05,73.34
2024-03-14 16:13:05,73.26
2024-03-14 16:18:05,73.21
2024-03-14 16:23:05,73.07
2024-03-14 16:28:05,73.02
2024-03-14 16:33:05,72.91
2024-03-14 16:38:05,72.84
2024-03-14 16:43:05,72.68
2024-03-14 16:48:05,72.65
2024-03-14 16:53:05,72.52
2024-03-14 16:58:05,72.5
2024-03-14 17:03:05,72.38
2024-03-14 17:08:05,72.27
2024-03-14 17:13:05,72.15
2024-03-14 17:18:05,72.05
2024-03-14 17:23:05,71.99
2024-03-14 17:28:05,71.95
2024-03-14 17:33:05,71.88
2024-03-14 17:38:05,71.79
2024-03-14 17:43:05,71.75
2024-03-14 17:48:05,71.6
2024-03-14 17:53:05,71.51
2024-03-14 17:58:05,71.4
2024-03-14 18:03:05,71.27
2024-03-14 18:08:05,71.14
2024-03-14 18:13:05,71.05
2024-03-14 18:18:05,71.0
2024-03-14 18:23:05,70.87
2024-03-14 18:28:05,70.83
2024-03-14 18:33:05,70.74
2024-03-14 18:38:05,70.7
2024-03-14 18:43:05,70.62
2024-03-14 18:48:05,70.59
2024-03-14 18:53:05,70.44
2024-03-14 18:58:05,70.38
2024-03-14 19:03:05,70.24
2024-03-14 19:08:05,70.14
2024-03-14 19:13:05,70.12
2024-03-14 19:18:05,70.01
2024-03-14 19:23:05,69.9
2024-03-14 19:28:05,69.76
2024-03-14 19:33:05,69.62
2024-03-14 19:38:05,69.6
2024-03-14 19:43:05,69.57
2024-03-14 19:48:05,69.52
2024-03-14 19:53:05,69.48
2024-03-14 19:58:05,69.34
2024-03-14 20:03:05,69.3
2024-03-14 20:08:05,69.25
2024-03-14 20:13:05,69.11
2024-03-14 20:18:05,69.04
2024-03-14 20:23:05,68.91
2024-03-14 20:28:05,68.78
2024-03-14 20:33:05,68.75
2024-03-14 20:38:05,68.72
2024-03-14 20:43:05,68.64
2024-03-14 20:48:05,68.61
2024-03-14 20:53:05,68.52
2024-03-14 20:58:05,68.45
2024-03-14 21:03:05,68.41
2024-03-14 21:08:05,68.39
2024-03-14 21:13:05,68.25
2024-03-14 21:18:05,68.21
2024-03-14 21:23:05,68.09
2024-03-14 21:28:05,68.03
2024-03-14 21:33:05,67.92
2024-03-14 21:38:05,67.89
2024-03-14 21:43:05,67.77
2024-03-14 21:48:05,67.65
2024-03-14 21:53:05,67.57
2024-03-14 21:58:05,67.44
2024-03-14 22:03:05,67.39
2024-03-14 22:08:05,67.33
2024-03-14 22:13:05,67.2
2024-03-14 22:18:05,67.16
2024-03-14 22:23:05,67.14
2024-03-14 22:28:05,67.04
2024-03-14 22:33:05,66.91
2024-03-14 22:38:05,66.88
2024-03-14 22:43:05,66.74
2024-03-14 22:48:05,66.71
2024-03-14 22:53:05,66.64
2024-03-14 22:58:05,66.55
2024-03-14 23:03:05,66.46
2024-03-14 23:08:05,66.42
2024-03-14 23:13:05,66.37
2024-03-14 23:18:05,66.25
2024-03-14 23:23:05,66.23
2024-03-14 23:28:05,66.19
2024-03-14 23:33:05,66.14
2024-03-14 23:38:05,66.0
2024-03-14 23:43:05,65.95
2024-03-14 23:48:05,65.92
2024-03-14 23:53:05,65.85
2024-03-14 23:58:05,65.83
2024-03-15 00:03:05,65.72
2024-03-15 00:08:05,65.59
2024-03-15 00:13:05,65.57
2024-03-15 00:18:05,65.46
2024-03-15 00:23:05,65.34
2024-03-15 00:28:05,65.31
2024-03-15 00:33:05,65.26
2024-03-15 00:38:05,65.13
2024-03-15 00:43:05,65.09
2024-03-15 00:48:05,65.02
2024-03-15 00:53:05,64.99
2024-03-15 00:58:05,64.91
2024-03-15 01:03:05,64.84
2024-03-15 01:08:05,64.74
2024-03-15 01:13:05,64.61
2024-03-15 01:18:05,64.53
2024-03-15 01:23:05,64.43
2024-03-15 01:28:05,64.31
2024-03-15 01:33:05,64.18
2024-03-15 01:38:05,64.08
2024-03-15 01:43:05,64.0
2024-03-15 01:48:05,63.93
2024-03-15 01:53:05,63.84
2024-03-15 01:58:05,63.78
