entity_id,state,last_changed
sensor.plantesp_plants_1_moisture,74.97,2024-03-12T15:33:05.000Z
sensor.plantesp_plants_1_moisture,74.88,2024-03-12T15:38:05.000Z
sensor.plantesp_plants_1_moisture,74.83,2024-03-12T15:43:05.000Z
sensor.plantesp_plants_1_moisture,74.76,2024-03-12T15:48:05.000Z
sensor.plantesp_plants_1_moisture,74.58,2024-03-12T15:53:05.000Z
sensor.plantesp_plants_1_moisture,74.5,2024-03-12T15:58:05.000Z
sensor.plantesp_plants_1_moisture,74.35,2024-03-12T16:03:05.000Z
sensor.plantesp_plants_1_moisture,74.17,2024-03-12T16:08:05.000Z
sensor.plantesp_plants_1_moisture,74.09,2024-03-12T16:13:05.000Z
sensor.plantesp_plants_1_moisture,73.94,2024-03-12T16:18:05.000Z
sensor.plantesp_plants_1_moisture,73.83,2024-03-12T16:23:05.000Z
sensor.plantesp_plants_1_moisture,73.7,2024-03-12T16:28:05.000Z
sensor.plantesp_plants_1_moisture,73.57,2024-03-12T16:33:05.000Z
sensor.plantesp_plants_1_moisture,73.47,2024-03-12T16:38:05.000Z
sensor.plantesp_plants_1_moisture,73.34,2024-03-12T16:43:05.000Z
sensor.plantesp_plants_1_moisture,73.32,2024-03-12T16:48:05.000Z
sensor.plantesp_plants_1_moisture,73.28,2024-03-12T16:53:05.000Z
sensor.plantesp_plants_1_moisture,73.2,2024-03-12T16:58:05.000Z
sensor.plantesp_plants_1_moisture,73.02,2024-03-12T17:03:05.000Z
sensor.plantesp_plants_1_moisture,72.84,2024-03-12T17:08:05.000Z
sensor.plantesp_plants_1_moisture,72.81,2024-03-12T17:13:05.000Z
sensor.plantesp_plants_1_moisture,72.78,2024-03-12T17:18:05.000Z
sensor.plantesp_plants_1_moisture,72.65,2024-03-12T17:23:05.000Z
sensor.plantesp_plants_1_moisture,72.54,2024-03-12T17:28:05.000Z
sensor.plantesp_plants_1_moisture,72.41,2024-03-12T17:33:05.000Z
sensor.plantesp_plants_1_moisture,72.38,2024-03-12T17:38:05.000Z
sensor.plantesp_plants_1_moisture,72.33,2024-03-12T17:43:05.000Z
sensor.plantesp_plants_1_moisture,72.28,2024-03-12T17:48:05.000Z
sensor.plantesp_plants_1_moisture,72.13,2024-03-12T17:53:05.000Z
sensor.plantesp_plants_1_moisture,71.99,2024-03-12T17:58:05.000Z
sensor.plantesp_plants_1_moisture,71.81,2024-03-12T18:03:05.000Z
sensor.plantesp_plants_1_moisture,71.73,2024-03-12T18:08:05.000Z
sensor.plantesp_plants_1_moisture,71.56,2024-03-12T18:13:05.000Z
sensor.plantesp_plants_1_moisture,71.43,2024-03-12T18:18:05.000Z
sensor.plantesp_plants_1_moisture,71.34,2024-03-12T18:23:05.000Z
sensor.plantesp_plants_1_moisture,71.18,2024-03-12T18:28:05.000Z
sensor.plantesp_plants_1_moisture,71.14,2024-03-12T18:33:05.000Z
sensor.plantesp_plants_1_moisture,71.06,2024-03-12T18:38:05.000Z
sensor.plantesp_plants_1_moisture,70.99,2024-03-12T18:43:05.000Z
sensor.plantesp_plants_1_moisture,70.97,2024-03-12T18:48:05.000Z
sensor.plantesp_plants_1_moisture,70.82,2024-03-12T18:53:05.000Z
sensor.plantesp_plants_1_moisture,70.7,2024-03-12T18:58:05.000Z
sensor.plantesp_plants_1_moisture,70.55,2024-03-12T19:03:05.000Z
sensor.plantesp_plants_1_moisture,70.4,2024-03-12T19:08:05.000Z
sensor.plantesp_plants_1_moisture,70.38,2024-03-12T19:13:05.000Z
sensor.plantesp_plants_1_moisture,70.26,2024-03-12T19:18:05.000Z
sensor.plantesp_plants_1_moisture,70.18,2024-03-12T19:23:05.000Z
sensor.plantesp_plants_1_moisture,70.13,2024-03-12T19:28:05.000Z
sensor.plantesp_plants_1_moisture,70.0,2024-03-12T19:33:05.000Z
sensor.plantesp_plants_1_moisture,69.88,2024-03-12T19:38:05.000Z
sensor.plantesp_plants_1_moisture,69.85,2024-03-12T19:43:05.000Z
sensor.plantesp_plants_1_moisture,69.69,2024-03-12T19:48:05.000Z
sensor.plantesp_plants_1_moisture,69.6,2024-03-12T19:53:05.000Z
sensor.plantesp_plants_1_moisture,69.54,2024-03-12T19:58:05.000Z
sensor.plantesp_plants_1_moisture,69.45,2024-03-12T20:03:05.000Z
sensor.plantesp_plants_1_moisture,69.33,2024-03-12T20:08:05.000Z
sensor.plantesp_plants_1_moisture,69.29,2024-03-12T20:13:05.000Z
sensor.plantesp_plants_1_moisture,69.23,2024-03-12T20:18:05.000Z
sensor.plantesp_plants_1_moisture,69.09,2024-03-12T20:23:05.000Z
sensor.plantesp_plants_1_moisture,68.93,2024-03-12T20:28:05.000Z
sensor.plantesp_plants_1_moisture,68.81,2024-03-12T20:33:05.000Z
sensor.plantesp_plants_1_moisture,68.64,2024-03-12T20:38:05.000Z
sensor.plantesp_plants_1_moisture,68.54,2024-03-12T20:43:05.000Z
sensor.plantesp_plants_1_moisture,68.5,2024-03-12T20:48:05.000Z
sensor.plantesp_plants_1_moisture,68.47,2024-03-12T20:53:05.000Z
sensor.plantesp_plants_1_moisture,68.3,2024-03-12T20:58:05.000Z
sensor.plantesp_plants_1_moisture,68.14,2024-03-12T21:03:05.000Z
sensor.plantesp_plants_1_moisture,68.0,2024-03-12T21:08:05.000Z
sensor.plantesp_plants_1_moisture,67.89,2024-03-12T21:13:05.000Z
