entity_id,state,last_changed
,unavailable,2024-03-21T07:00:02.848Z
,off,2024-03-21T07:00:03.238Z
,unavailable,2024-03-21T07:00:43.226Z
,off,2024-03-21T07:00:43.566Z
,unavailable,2024-03-21T18:08:58.826Z
,off,2024-03-21T18:08:59.770Z
,unavailable,2024-03-21T18:16:42.058Z
,off,2024-03-21T18:16:42.489Z
,unavailable,2024-03-21T18:21:22.562Z
,off,2024-03-21T18:21:29.138Z
,unavailable,2024-03-21T18:25:12.715Z
,off,2024-03-21T18:25:14.723Z
,unavailable,2024-03-21T18:28:19.611Z
,off,2024-03-21T18:28:19.891Z
,unavailable,2024-03-21T18:34:00.878Z
,off,2024-03-21T18:34:38.008Z
,unavailable,2024-03-21T18:38:27.889Z
,off,2024-03-21T18:38:34.797Z
,unavailable,2024-03-21T19:37:55.084Z
,off,2024-03-21T19:37:55.285Z
,on,2024-03-23T13:05:06.127Z
,unavailable,2024-03-23T16:20:59.425Z
,on,2024-03-23T16:22:33.308Z
,unavailable,2024-03-23T16:33:24.579Z
,on,2024-03-23T16:33:53.266Z
,unavailable,2024-03-23T22:48:02.757Z
,on,2024-03-23T22:48:03.205Z
,off,2024-03-24T00:06:46.976Z
,unavailable,2024-03-24T12:54:59.179Z
,on,2024-03-21T06:00:00.185Z
,unavailable,2024-03-21T07:00:02.848Z
,on,2024-03-21T07:00:03.671Z
,unavailable,2024-03-21T07:00:43.226Z
,on,2024-03-21T07:00:43.600Z
,unavailable,2024-03-21T14:43:54.362Z
,on,2024-03-21T14:43:57.217Z
,unavailable,2024-03-21T18:08:58.825Z
,on,2024-03-21T18:08:59.800Z
,unavailable,2024-03-21T18:16:42.058Z
,on,2024-03-21T18:16:42.526Z
,unavailable,2024-03-21T18:21:22.562Z
,on,2024-03-21T18:21:33.995Z
,unavailable,2024-03-21T18:25:12.714Z
,on,2024-03-21T18:25:14.755Z
,unavailable,2024-03-21T18:28:19.610Z
,on,2024-03-21T18:28:19.912Z
,unavailable,2024-03-21T18:34:00.878Z
,on,2024-03-21T18:34:38.060Z
,unavailable,2024-03-21T18:38:27.889Z
,on,2024-03-21T18:38:34.828Z
,unavailable,2024-03-21T19:37:55.083Z
,on,2024-03-21T19:37:55.297Z
,off,2024-03-21T22:00:00.344Z
,on,2024-03-22T06:00:00.312Z
,off,2024-03-22T22:00:00.331Z
,on,2024-03-23T06:00:00.343Z
,unavailable,2024-03-23T13:05:00.800Z
,on,2024-03-23T13:05:06.174Z
,unavailable,2024-03-23T16:20:59.425Z
,on,2024-03-23T16:25:58.339Z
,unavailable,2024-03-23T16:33:24.579Z
,on,2024-03-23T16:33:53.385Z
,off,2024-03-23T22:00:00.423Z
,unavailable,2024-03-23T22:48:02.757Z
,off,2024-03-23T22:48:03.223Z
,unavailable,2024-03-23T23:50:55.425Z
,off,2024-03-24T00:06:47.010Z
,on,2024-03-24T06:00:00.229Z
,unavailable,2024-03-24T12:54:59.179Z
