time,moisture
2024-03-21 02:12:00,26.79
2024-03-21 02:12:20,26.9
2024-03-21 02:12:40,27.25
2024-03-21 02:13:00,27.89
2024-03-21 02:13:20,28.03
2024-03-21 02:13:40,27.47
2024-03-21 02:14:00,26.82
2024-03-21 02:14:20,27.02
2024-03-21 02:14:40,27.04
2024-03-21 02:15:00,27.03
2024-03-21 02:15:20,27.7
2024-03-21 02:15:40,27.92
2024-03-21 02:16:00,27.13
2024-03-21 02:16:20,27.53
2024-03-21 02:16:40,27.84
2024-03-21 02:17:00,27.45
2024-03-21 02:17:20,27.69
2024-03-21 02:17:40,28.23
2024-03-21 02:18:00,28.12
2024-03-21 02:18:20,28.06
2024-03-21 02:18:40,28.03
2024-03-21 02:19:00,28.14
2024-03-21 02:19:20,27.92
2024-03-21 02:19:40,27.11
2024-03-21 02:20:00,26.97
2024-03-21 02:20:20,27.24
2024-03-21 02:20:40,27.39
2024-03-21 02:21:00,27.38
2024-03-21 02:21:20,27.26
2024-03-21 02:21:40,27.14
2024-03-21 02:22:00,27.35
2024-03-21 02:22:20,27.98
2024-03-21 02:22:40,28.13
2024-03-21 02:23:00,27.71
2024-03-21 02:23:20,26.97
2024-03-21 02:23:40,27.3
2024-03-21 02:24:00,28.07
2024-03-21 02:24:20,28.08
2024-03-21 02:24:40,27.7
2024-03-21 02:25:00,27.06
2024-03-21 02:25:20,27.09
2024-03-21 02:25:40,27.67
2024-03-21 02:26:00,28.06
2024-03-21 02:26:20,28.01
2024-03-21 02:26:40,27.18
2024-03-21 02:27:00,27.27
2024-03-21 02:27:20,27.83
2024-03-21 02:27:40,28.02
2024-03-21 02:28:00,28.14
2024-03-21 02:28:20,28.07
2024-03-21 02:28:40,28.09
2024-03-21 02:29:00,27.69
2024-03-21 02:29:20,26.95
2024-03-21 02:29:40,26.91
2024-03-21 02:30:00,26.76
2024-03-21 02:30:20,26.82
2024-03-21 02:30:40,26.77
2024-03-21 02:31:00,27.47
2024-03-21 02:31:20,27.95
2024-03-21 02:31:40,27.08
2024-03-21 02:32:00,27.35
2024-03-21 02:32:20,28.01
2024-03-21 02:32:40,28.02
2024-03-21 02:33:00,28.07
2024-03-21 02:33:20,28.15
2024-03-21 02:33:40,27.8
2024-03-21 02:34:00,27.2
2024-03-21 02:34:20,27.21
2024-03-21 02:34:40,27.99
2024-03-21 02:35:00,28.05
2024-03-21 02:35:20,27.8
2024-03-21 02:35:40,28.01
2024-03-21 02:36:00,27.98
2024-03-21 02:36:20,27.53
2024-03-21 02:36:40,26.91
2024-03-21 02:37:00,27.06
2024-03-21 02:37:20,27.96
2024-03-21 02:37:40,27.94
2024-03-21 02:38:00,27.12
2024-03-21 02:38:20,27.8
2024-03-21 02:38:40,27.83
2024-03-21 02:39:00,27.35
