entity_id,state,last_changed
sensor.plantesp_plants_1_moisture,26.79,2024-03-21T02:12:00.397Z
sensor.plantesp_plants_1_moisture,26.9,2024-03-21T02:12:20.401Z
sensor.plantesp_plants_1_moisture,27.25,2024-03-21T02:12:40.410Z
sensor.plantesp_plants_1_moisture,27.89,2024-03-21T02:13:00.395Z
sensor.plantesp_plants_1_moisture,28.03,2024-03-21T02:13:20.407Z
sensor.plantesp_plants_1_moisture,27.47,2024-03-21T02:13:40.396Z
sensor.plantesp_plants_1_moisture,26.82,2024-03-21T02:14:00.400Z
sensor.plantesp_plants_1_moisture,27.02,2024-03-21T02:14:20.396Z
sensor.plantesp_plants_1_moisture,27.04,2024-03-21T02:14:40.396Z
sensor.plantesp_plants_1_moisture,27.03,2024-03-21T02:15:00.416Z
sensor.plantesp_plants_1_moisture,27.7,2024-03-21T02:15:20.401Z
sensor.plantesp_plants_1_moisture,27.92,2024-03-21T02:15:40.395Z
sensor.plantesp_plants_1_moisture,27.13,2024-03-21T02:16:00.400Z
sensor.plantesp_plants_1_moisture,27.53,2024-03-21T02:16:20.395Z
sensor.plantesp_plants_1_moisture,27.84,2024-03-21T02:16:40.400Z
sensor.plantesp_plants_1_moisture,27.45,2024-03-21T02:17:00.408Z
sensor.plantesp_plants_1_moisture,27.69,2024-03-21T02:17:20.397Z
sensor.plantesp_plants_1_moisture,28.23,2024-03-21T02:17:40.407Z
sensor.plantesp_plants_1_moisture,28.12,2024-03-21T02:18:00.395Z
sensor.plantesp_plants_1_moisture,28.06,2024-03-21T02:18:20.402Z
sensor.plantesp_plants_1_moisture,28.03,2024-03-21T02:18:40.405Z
sensor.plantesp_plants_1_moisture,28.14,2024-03-21T02:19:00.404Z
sensor.plantesp_plants_1_moisture,27.92,2024-03-21T02:19:20.402Z
sensor.plantesp_plants_1_moisture,27.11,2024-03-21T02:19:40.396Z
sensor.plantesp_plants_1_moisture,26.97,2024-03-21T02:20:00.425Z
sensor.plantesp_plants_1_moisture,27.24,2024-03-21T02:20:20.417Z
sensor.plantesp_plants_1_moisture,27.39,2024-03-21T02:20:40.400Z
sensor.plantesp_plants_1_moisture,27.38,2024-03-21T02:21:00.393Z
sensor.plantesp_plants_1_moisture,27.26,2024-03-21T02:21:20.419Z
sensor.plantesp_plants_1_moisture,27.14,2024-03-21T02:21:40.402Z
sensor.plantesp_plants_1_moisture,27.35,2024-03-21T02:22:00.408Z
sensor.plantesp_plants_1_moisture,27.98,2024-03-21T02:22:20.415Z
sensor.plantesp_plants_1_moisture,28.13,2024-03-21T02:22:40.396Z
sensor.plantesp_plants_1_moisture,27.71,2024-03-21T02:23:00.398Z
sensor.plantesp_plants_1_moisture,26.97,2024-03-21T02:23:20.389Z
sensor.plantesp_plants_1_moisture,27.3,2024-03-21T02:23:40.395Z
sensor.plantesp_plants_1_moisture,28.07,2024-03-21T02:24:00.390Z
sensor.plantesp_plants_1_moisture,28.08,2024-03-21T02:24:20.478Z
sensor.plantesp_plants_1_moisture,27.7,2024-03-21T02:24:40.396Z
sensor.plantesp_plants_1_moisture,27.06,2024-03-21T02:25:00.391Z
sensor.plantesp_plants_1_moisture,27.09,2024-03-21T02:25:20.400Z
sensor.plantesp_plants_1_moisture,27.67,2024-03-21T02:25:40.397Z
sensor.plantesp_plants_1_moisture,28.06,2024-03-21T02:26:00.399Z
sensor.plantesp_plants_1_moisture,28.01,2024-03-21T02:26:20.388Z
sensor.plantesp_plants_1_moisture,27.18,2024-03-21T02:26:40.389Z
sensor.plantesp_plants_1_moisture,27.27,2024-03-21T02:27:00.385Z
sensor.plantesp_plants_1_moisture,27.83,2024-03-21T02:27:20.389Z
sensor.plantesp_plants_1_moisture,28.02,2024-03-21T02:27:40.386Z
sensor.plantesp_plants_1_moisture,28.14,2024-03-21T02:28:00.387Z
sensor.plantesp_plants_1_moisture,28.07,2024-03-21T02:28:20.383Z
sensor.plantesp_plants_1_moisture,28.09,2024-03-21T02:28:40.379Z
sensor.plantesp_plants_1_moisture,27.69,2024-03-21T02:29:00.386Z
sensor.plantesp_plants_1_moisture,26.95,2024-03-21T02:29:20.400Z
sensor.plantesp_plants_1_moisture,26.91,2024-03-21T02:29:40.385Z
sensor.plantesp_plants_1_moisture,26.76,2024-03-21T02:30:00.383Z
sensor.plantesp_plants_1_moisture,26.82,2024-03-21T02:30:20.383Z
sensor.plantesp_plants_1_moisture,26.77,2024-03-21T02:30:40.384Z
sensor.plantesp_plants_1_moisture,27.47,2024-03-21T02:31:00.383Z
sensor.plantesp_plants_1_moisture,27.95,2024-03-21T02:31:20.379Z
sensor.plantesp_plants_1_moisture,27.08,2024-03-21T02:31:40.384Z
sensor.plantesp_plants_1_moisture,27.35,2024-03-21T02:32:00.406Z
sensor.plantesp_plants_1_moisture,28.01,2024-03-21T02:32:20.386Z
sensor.plantesp_plants_1_moisture,28.02,2024-03-21T02:32:40.722Z
sensor.plantesp_plants_1_moisture,28.07,2024-03-21T02:33:00.386Z
sensor.plantesp_plants_1_moisture,28.15,2024-03-21T02:33:20.400Z
sensor.plantesp_plants_1_moisture,27.8,2024-03-21T02:33:40.380Z
sensor.plantesp_plants_1_moisture,27.2,2024-03-21T02:34:00.379Z
sensor.plantesp_plants_1_moisture,27.21,2024-03-21T02:34:20.407Z
sensor.plantesp_plants_1_moisture,27.99,2024-03-21T02:34:40.377Z
sensor.plantesp_plants_1_moisture,28.05,2024-03-21T02:35:00.376Z
sensor.plantesp_plants_1_moisture,27.8,2024-03-21T02:35:20.378Z
sensor.plantesp_plants_1_moisture,28.01,2024-03-21T02:35:40.375Z
sensor.plantesp_plants_1_moisture,27.98,2024-03-21T02:36:00.376Z
sensor.plantesp_plants_1_moisture,27.53,2024-03-21T02:36:20.385Z
sensor.plantesp_plants_1_moisture,26.91,2024-03-21T02:36:40.378Z
sensor.plantesp_plants_1_moisture,27.06,2024-03-21T02:37:00.384Z
sensor.plantesp_plants_1_moisture,27.96,2024-03-21T02:37:20.377Z
sensor.plantesp_plants_1_moisture,27.94,2024-03-21T02:37:40.378Z
sensor.plantesp_plants_1_moisture,27.12,2024-03-21T02:38:00.376Z
sensor.plantesp_plants_1_moisture,27.8,2024-03-21T02:38:20.375Z
sensor.plantesp_plants_1_moisture,27.83,2024-03-21T02:38:40.384Z
sensor.plantesp_plants_1_moisture,27.35,2024-03-21T02:39:00.377Z
sensor.plantesp_plants_1_moisture,27.69,2024-03-21T02:39:20.373Z
sensor.plantesp_plants_1_moisture,27.82,2024-03-21T02:39:40.392Z
sensor.plantesp_plants_1_moisture,27.9,2024-03-21T02:40:00.378Z
sensor.plantesp_plants_1_moisture,27.91,2024-03-21T02:40:20.373Z
sensor.plantesp_plants_1_moisture,28.08,2024-03-21T02:40:40.387Z
sensor.plantesp_plants_1_moisture,27.95,2024-03-21T02:41:00.373Z
sensor.plantesp_plants_1_moisture,27.6,2024-03-21T02:41:20.373Z
sensor.plantesp_plants_1_moisture,27.5,2024-03-21T02:41:40.410Z
sensor.plantesp_plants_1_moisture,27.84,2024-03-21T02:42:00.386Z
sensor.plantesp_plants_1_moisture,28.06,2024-03-21T02:42:20.380Z
